key,time,mstar,mgas,mass,Rvir,x,y,z,Hdist,sfr,t_infall,HI_mass,OVI_mass,host_mass_frac,host_HI_frac,host_OVI_frac,M_inhalo,HI_inhalo,OVI_inhalo
h148_2,13.800797497085432,2268773242.58524,8252345353.672479,95758659417.82007,95.46219784817974,-59.6,-162.55,78.24,189.99,0.4762898196650001,,3166450273.1760693,29518.45339498804,0.06937207625227693,0.22456832649077824,0.045517283578169906,0.7789779398332604,0.9970520502590968,0.24853450582686448
h148_3,,1502170553.3975186,2975036371.7897925,46970096088.7893,76.48358432435741,236.62,48.3,114.24,267.16,,,1027898351.2553,11062.0578815384,0.018129592150336035,0.04002339900253321,0.018883499847910996,1.074574926111297,1.8160586176105522,0.2245033716664393
h148_4,13.800797497085432,431784719.1125242,970641291.0114958,32489711262.624924,67.33590428645316,65.83,-236.64,6.32,245.71,0.025734916647654,,357770711.46552,1630.1977457971627,0.00904577311864367,0.025345527264314424,0.007482847375165817,0.7026604808833208,0.9981529982633022,0.08349160915629199
h148_6,13.800797497085432,331596785.7922232,1010160293.081616,28696006396.50239,64.71622449518539,280.59,-104.37,-129.01,325.99,0.0373919961584973,,356920579.76386756,1589.1132424485554,0.004255456616068616,0.0007486170826893611,0.0038300382689399224,1.5544493776273829,33.71363014196309,0.1590088013214952
h148_10,13.800797497085432,135327425.28438023,1139459917.4270222,10557660444.895128,46.46967497333739,-24.02,-133.76,-5.92,136.03,0.0226685407908213,,437872182.4552172,116.15186684258799,0.013847197050998098,0.03505295645951475,0.006263744646521106,0.5388521715844493,0.8833165422839796,0.007106595230735419
h148_12,13.800797497085432,104376733.61681984,7503452.808617334,9071870008.80698,43.97903573678197,42.64,281.5,-2.79,284.73,0.0001368711705845,,304358.7371556842,86.13387778348803,0.0009289951180881487,0.0014137399235426614,0.0014448836612377836,0.05289080546541541,0.01522333878078972,0.022846019860376387
h148_27,13.800797497085432,84157275.75982502,102677446.19155842,3249351690.3665643,31.36791666326621,237.78,147.66,-94.98,295.57,0.0005353811679827,,21596277.738245234,25.03570560847618,0.005457752580317686,0.006516979379129868,0.008143840660956865,0.12319516734295917,0.23432909680475517,0.0011781484021071145
h148_34,13.800797497085432,5759678.703155427,58695424.69954641,2628660346.872449,29.13030145323777,-296.06,-315.65,-241.34,495.51,0.0,,6332315.5886807125,168.8299619241035,0.0006900887378985471,0.0002822163109345491,0.00041669856132653193,0.5569699527961094,1.5866243011988053,0.15527336031631925
h148_38,13.800797497085432,13740928.318247871,0.0,1883522483.6442513,26.06023170130484,2.87,48.18,-181.8,188.1,0.0,,0.0,0.0,0.0009806766269503096,0.0009506706580958286,0.0014787083194617654,0.0,0.0,0.0
h148_55,13.800797497085432,2822993.3005341254,5263209.607661642,1361924181.8319905,23.525587974050726,-71.52,14.26,33.44,80.23,0.0,,1317506.461755855,0.0,0.001581919986948486,0.0011065009424868467,0.002223315547438319,0.021787059030076897,0.08419661410248797,0.0
