,satRvir,a,satRvir,hostRvir,sat_Xc,sat_Yc,sat_Zc,sat_vx,sat_vy,sat_vz,host_Xc,host_Yc,host_Zc,host_vx,host_vy,host_vz,sat_Mstar,sat_Mgas,host_Mstar,host_Mgas,sat_r_half,sat_r_gas,host_r_half,host_r_gas,x,y,z
h148_2,86.62948051882412,0.7472101728653407,86.62948051882412,225.23444419479947,18961.58275683212,18219.513829941578,18494.39292529632,-24.68,66.84,-120.56,18898.24782439212,18665.34426202948,18419.01165986682,11.37,3.84,-5.86,794183000.0,5478930000.0,100328000000.0,99059300000.0,2.8713089964964933,7.411914442819716,3.89123961367089,20.113139822599397,-63.33493243999692,445.8304320879033,-75.38126542949976
h148_3,67.06828640975134,0.6156277117306156,67.06828640975134,179.2484664008145,15683.917140510486,15626.639058557166,15446.666369114344,-140.15,-40.17,-60.09,15554.281033781226,15377.760360576787,15221.020692806105,0.95,5.93,-27.37,646964000.0,3147140000.0,68991800000.0,81012200000.0,1.9971701627112715,6.560633574225536,2.5274259233734284,18.543059913421175,-129.63610672926006,-248.878697980379,-225.64567630823876
h148_4,59.47786641697282,0.6666855732363219,59.47786641697282,203.35212978915735,16706.62573172685,16259.975149027912,16547.842746515988,-87.54,114.46,28.51,16845.50159844042,16643.039559142504,16446.41469085675,19.93,5.41,-8.92,225695000.0,1060770000.0,83682400000.0,93413000000.0,2.426535065947199,2.103174816822096,3.4462461076430575,20.24844895515459,138.87586671356985,383.06441011459174,-101.42805565923845
h148_6,62.06645640878417,0.7206113137613943,62.06645640878417,219.5453358698247,17850.082909305922,17923.795059236134,17480.187014042032,35.74,34.36,137.21,18223.888087643616,17993.059460824883,17769.076572142905,15.69,7.82,-3.45,174050000.0,1247750000.0,95676200000.0,98455100000.0,2.31080957825999,2.4380285174118814,3.974820212605982,18.284842326667835,373.8051783376941,69.26440158874902,288.8895581008728
h148_7,50.762235467654136,0.6156277117306156,50.762235467654136,179.2484664008145,15617.94771216053,15708.120714622582,15068.293474003878,36.47,-120.48,-64.42,15554.281033781226,15377.760360576787,15221.020692806105,0.95,5.93,-27.37,137262000.0,398063000.0,68991800000.0,81012200000.0,0.914265317749236,1.0454212472842332,2.5274259233734284,18.543059913421175,-63.66667837930436,-330.36035404579525,152.72721880222707
h148_10,36.70840406690167,0.537185821693962,36.70840406690167,156.7736591740836,13287.167792138844,13621.68409011882,13256.585138646837,182.6,-14.62,-61.85,13575.594533955787,13407.492940519425,13319.877510133247,1.65,4.12,-22.58,24770100.0,514276000.0,55011400000.0,75310700000.0,0.776080019357339,0.9130154540733542,2.4028969917652367,19.595620011695118,288.42674181694383,-214.19114959939543,63.29237148641005
h148_12,40.60727212186519,0.5895311905622812,40.60727212186519,171.71099923168313,14630.158247428417,14821.054059833335,14516.263150068979,223.36,4.35,-61.07,14895.501055841769,14725.284864761788,14591.381125340284,-0.65,5.02,-25.61,68757500.0,167612000.0,64426500000.0,80507000000.0,0.8738383711602626,0.5753784596734988,2.46850214038005,20.91799987505788,265.34280841335203,-95.76919507154707,75.11797527130511
h148_23,28.494729806070897,0.4573831206073492,28.494729806070897,136.7301589628589,11400.213909400429,11611.693602562416,11218.971588921495,144.42,-65.0,13.38,11556.843653627644,11415.04612051356,11376.63250038369,-1.86,5.81,-21.94,23703100.0,760219000.0,37444700000.0,69693200000.0,1.127395766637747,2.3126608657170333,2.178251397852042,19.856793363309713,156.62974422721527,-196.64748204885655,157.66091146219514
h148_27,29.53409228597021,0.4573831206073492,29.53409228597021,136.7301589628589,11446.718566619216,11617.342138154274,11277.78733970795,140.75,-28.09,27.87,11556.744746011058,11414.948426453904,11376.535135079786,-1.86,5.81,-21.94,34115600.0,547285000.0,37444300000.0,69692800000.0,1.2097575638185092,1.5779420122061745,2.178251397852042,19.856793363309713,110.02617939184165,-202.39371170036975,98.74779537183713
h148_34,28.51256826335486,0.6417404308361941,28.51256826335486,193.39494574642856,16215.754449192056,15902.536549723756,15525.399019707475,72.86,-27.24,159.1,16213.318746798554,16029.954161127047,15848.45968763056,12.34,6.89,-18.13,2981350.0,175525000.0,77549400000.0,89205700000.0,0.9747521073217911,1.165957887538291,2.9692489086296296,18.11300274470544,-2.435702393502652,127.41761140329072,323.06066792308593
