key,time,mstar,mgas,mass,Rvir,x,y,z,Hdist,sfr
h148_2,13.800797497085432,2268773242.58524,8252345353.672479,95758659417.82007,95.14614784085498,-3.1286548192793457,484.0,-141.1458789221255,504.1705540962081,0.4762898196650001
h148_3,13.800797497085432,1502170553.3975186,2975036371.7897925,46970096088.7893,76.05199224127894,207.19687887765784,197.0,-55.85055031221867,291.3053905900481,0.09886953071401175
h148_4,13.800797497085432,431784719.1125242,970641291.0114958,32489711262.624924,67.25746616914036,139.89331817740654,54.0,-86.35023682268823,173.0390241246738,0.025734916647654097
h148_6,13.800797497085432,331596785.7922232,1010160293.081616,28696006396.50239,64.52762166688257,299.10187645337027,74.0,115.61424964261737,329.0966229215253,0.0373919961584973
h148_10,13.800797497085432,135327425.28438023,1139459917.4270222,10557660444.895128,46.24504145986965,21.18647236433945,32.0,-47.89131205063819,61.371364504763314,0.022668540790821305
h148_12,13.800797497085432,104376733.61681984,7503452.808617334,9071870008.80698,43.95787444446448,-52.34885346192897,16.0,114.14375950891457,126.59068012143484,0.00013687117058458514
h148_27,13.800797497085432,84157275.75982502,102677446.19155842,3249351690.3665643,31.223518739337646,175.98179376419392,1.0,173.99362605639507,247.47600620002726,0.0005353811679827152
h148_34,13.800797497085432,5759678.703155427,58695424.69954641,2628660346.872449,29.083910886216685,-176.11060770402852,235.0,63.534840140636405,300.4606830478465,0.0
h148_38,13.800797497085432,13740928.318247871,0.0,1883522483.6442513,26.02943622693365,-13.254241782447433,29.98024799484047,185.27272982641213,188.1501384862377,0.0
h148_55,13.800797497085432,2822993.3005341254,5263209.607661642,1361924181.8319905,23.373371305817972,-72.29271824215893,44.0,-34.72466894195134,91.47699024327538,0.0
h148_65,13.800797497085432,30012934.913910694,0.0,899610762.6510435,20.348408478991782,-6.33892655900488,43.51590293966598,-109.60828726407694,118.1007723748634,0.0
h148_251,13.800797497085432,2149495.8941822173,0.0,181562061.31852707,11.937536228792133,184.78048028167092,22.454225328218058,229.72634938888172,295.6724771292687,0.0
h148_249,13.800797497085432,2063790.3327528015,0.0,186138624.17114863,12.070339474847918,-31.92034759724175,-169.58319174194273,61.70466582811952,183.26165255468246,0.0
h148_282,13.800797497085432,3984285.8970111087,0.0,149531828.93202177,11.19974041737111,63.91527810246358,-169.6344096452175,8.127366167683604,181.4581213156918,0.0
h229_14,13.800797497013598,3338274.865992406,27035425.354534633,2403510707.230802,28.22806774482775,158.32770686612835,175.0,198.86911367310634,308.6123573912969,0.0
h229_18,13.800797497013598,77148780.74741861,0.0,1509991017.160223,24.184946698260685,6.874169870858787,-49.0394914800307,128.48049511341236,137.69300476284553,0.0
h229_20,13.800797497013598,861068.1857683044,651979.0485182952,2025912376.8735456,26.663940624622974,-65.5124963974042,264.07765491466387,-13.798545890848988,272.432183998422,0.0
h229_22,13.800797497013598,4786507.657121212,0.0,1551642398.9226277,24.406285441685885,-15.438021308408384,110.30665072196152,-194.63614190165382,224.25235211648598,0.0
h229_49,13.800797497013598,6790766.609284809,0.0,764197462.6010264,19.28598251044949,39.26131934321163,-69.71765922815995,-75.54315292941565,110.0398616835761,0.0
h242_8,13.80079749716859,800277674.5414321,1114762720.1752226,11947351952.329924,48.19282240229888,-75.57633863168321,30.0,-36.990679810235385,89.33136825211068,0.03435443828221626
h242_10,13.80079749716859,795520231.0587308,516392272.169083,9255527811.346235,37.83416920988804,-1.9992048085147454,157.0,-36.14637315416199,161.11969808830426,0.009396487951044252
h242_21,13.80079749716859,13659871.56946092,0.0,4014776240.2497296,33.495929838707426,124.17589815543052,-25.172506651985678,180.08982561511797,220.1945822765304,0.0
h242_30,13.80079749716859,3872856.969036771,0.0,2768428489.468048,29.61512387061049,46.86318076480318,375.0906929679259,-234.84690798250247,445.0193881748249,0.0
h242_38,13.80079749716859,1833825.5991626265,0.0,1976431651.7246947,26.45735779771032,-81.65879418964309,-81.95290222089544,230.7892374254217,258.1629504060213,0.0
h242_69,13.80079749716859,23516614.91802343,13426858.034682054,865089496.0630938,20.082801986995953,60.30336009176673,183.0,-103.62000583811982,218.77522905541494,0.0
h242_401,13.80079749716859,7590570.902076464,0.0,82780245.14322641,9.207691726587418,152.60976611822957,-177.54714167188783,85.82504186232096,249.35650390793356,0.0
h329_7,13.800797497330507,27474018.441916022,247679096.97929296,5129210461.352672,32.50728345176236,47.63006109263756,604.0,-36.41935409289415,606.9686911795633,0.0011925676265460657
h329_29,13.800797497330507,1491120.936900578,0.0,1403477617.3003492,23.609465965873703,-315.5309764902343,317.1449722032601,-357.1143058324317,572.4258536691603,0.0
h329_117,13.800797497330507,3084173.3895318643,0.0,239885024.5650137,13.103253611059905,60.676113305904956,5.002274533358905,95.81498033003713,113.52146903587669,0.0
